Packet_Length,Timestamp,TCP_Flags,Flow_ID,Source_IP,Destination_IP,Protocol,Source_IP_Encoded,Destination_IP_Encoded,Protocol_Encoded,Anomaly
81,2025-03-19 10:54:12.208821,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:54:12.208839,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:54:12.208849,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:54:22.038844,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:54:22.039039,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:54:22.039260,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:54:22.039279,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:54:22.039290,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:54:22.039302,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:54:22.039313,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
189,2025-03-19 10:54:22.346221,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
80,2025-03-19 10:54:22.346885,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
120,2025-03-19 10:54:22.346998,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
93,2025-03-19 10:54:30.959557,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
143,2025-03-19 10:54:30.959704,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
93,2025-03-19 10:54:30.960032,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
79,2025-03-19 10:54:30.960054,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
82,2025-03-19 10:54:30.960064,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
77,2025-03-19 10:54:30.960076,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
87,2025-03-19 10:54:30.960085,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:54:30.960094,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
86,2025-03-19 10:54:30.960104,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
78,2025-03-19 10:54:30.960112,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
96,2025-03-19 10:54:30.960122,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
87,2025-03-19 10:54:30.960131,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:54:42.006976,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:54:42.007479,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:54:42.007694,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:54:42.007713,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:54:42.007724,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
52,2025-03-19 10:54:44.157319,,192.168.1.254_224.0.0.1_None,192.168.1.254,224.0.0.1,,5,4,2,Anomaly
54,2025-03-19 10:54:50.879247,,192.168.1.238_224.0.0.22_None,192.168.1.238,224.0.0.22,,4,5,2,Anomaly
100,2025-03-19 10:55:04.125310,,192.168.1.76_224.0.0.251_UDP,192.168.1.76,224.0.0.251,UDP,6,6,1,Normal
81,2025-03-19 10:55:12.112718,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:55:12.113186,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:55:12.113396,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:55:12.113415,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:55:12.113425,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:55:22.045550,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:55:22.045709,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:55:22.045811,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
80,2025-03-19 10:55:22.352781,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
120,2025-03-19 10:55:22.352936,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
75,2025-03-19 10:55:32.183135,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:55:32.183333,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:55:32.183521,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:55:32.183542,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
189,2025-03-19 10:55:32.490579,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
234,2025-03-19 10:55:35.516057,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:55:35.516353,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:55:35.774689,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:55:36.025825,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
383,2025-03-19 10:55:36.277516,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Anomaly
319,2025-03-19 10:55:36.277837,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
81,2025-03-19 10:56:12.324081,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:56:12.324233,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:56:12.324408,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:56:12.324425,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:56:12.324435,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:56:22.154551,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:56:22.154713,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:56:22.154906,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
80,2025-03-19 10:56:22.154928,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
120,2025-03-19 10:56:22.154939,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
75,2025-03-19 10:56:32.292162,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:56:32.292323,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:56:32.292549,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:56:32.292570,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
189,2025-03-19 10:56:32.292582,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
81,2025-03-19 10:56:42.089759,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:56:42.089916,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:56:42.090108,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:56:42.090129,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:56:42.090141,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
52,2025-03-19 10:56:49.188209,,192.168.1.254_224.0.0.1_None,192.168.1.254,224.0.0.1,,5,4,2,Anomaly
54,2025-03-19 10:56:51.455256,,192.168.1.238_224.0.0.22_None,192.168.1.238,224.0.0.22,,4,5,2,Anomaly
81,2025-03-19 10:57:22.161213,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:57:22.161375,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:57:22.161611,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:57:22.161633,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:57:22.161645,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:57:22.161655,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:57:22.161665,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:57:22.161676,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
80,2025-03-19 10:57:22.468408,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
120,2025-03-19 10:57:22.468580,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
75,2025-03-19 10:57:32.298818,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:57:32.298976,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:57:32.299168,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:57:32.299255,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
189,2025-03-19 10:57:32.606188,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
234,2025-03-19 10:57:36.291086,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:57:36.291406,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:57:36.552673,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:57:36.817695,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
383,2025-03-19 10:57:37.070037,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Anomaly
319,2025-03-19 10:57:37.070386,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
72,2025-03-19 10:57:53.771356,,192.168.1.238_8.8.8.8_UDP,192.168.1.238,8.8.8.8,UDP,4,8,1,Normal
72,2025-03-19 10:57:53.771599,,192.168.1.238_8.8.8.8_UDP,192.168.1.238,8.8.8.8,UDP,4,8,1,Normal
127,2025-03-19 10:57:53.825678,,8.8.8.8_192.168.1.238_UDP,8.8.8.8,192.168.1.238,UDP,8,2,1,Anomaly
136,2025-03-19 10:57:53.835364,,8.8.8.8_192.168.1.238_UDP,8.8.8.8,192.168.1.238,UDP,8,2,1,Anomaly
90,2025-03-19 10:57:53.835588,,192.168.1.238_148.113.194.34_UDP,192.168.1.238,148.113.194.34,UDP,4,0,1,Anomaly
90,2025-03-19 10:57:53.860343,,148.113.194.34_192.168.1.238_UDP,148.113.194.34,192.168.1.238,UDP,0,2,1,Anomaly
90,2025-03-19 10:57:54.360678,,192.168.1.238_148.113.194.34_UDP,192.168.1.238,148.113.194.34,UDP,4,0,1,Anomaly
90,2025-03-19 10:57:54.389457,,148.113.194.34_192.168.1.238_UDP,148.113.194.34,192.168.1.238,UDP,0,2,1,Anomaly
90,2025-03-19 10:57:54.889787,,192.168.1.238_148.113.194.34_UDP,192.168.1.238,148.113.194.34,UDP,4,0,1,Anomaly
90,2025-03-19 10:57:54.918899,,148.113.194.34_192.168.1.238_UDP,148.113.194.34,192.168.1.238,UDP,0,2,1,Anomaly
90,2025-03-19 10:57:55.419260,,192.168.1.238_148.113.194.34_UDP,192.168.1.238,148.113.194.34,UDP,4,0,1,Anomaly
90,2025-03-19 10:57:55.455325,,148.113.194.34_192.168.1.238_UDP,148.113.194.34,192.168.1.238,UDP,0,2,1,Anomaly
90,2025-03-19 10:57:55.955697,,192.168.1.238_148.113.194.34_UDP,192.168.1.238,148.113.194.34,UDP,4,0,1,Anomaly
90,2025-03-19 10:57:55.985202,,148.113.194.34_192.168.1.238_UDP,148.113.194.34,192.168.1.238,UDP,0,2,1,Anomaly
90,2025-03-19 10:57:56.485596,,192.168.1.238_148.113.194.34_UDP,192.168.1.238,148.113.194.34,UDP,4,0,1,Anomaly
90,2025-03-19 10:57:56.517956,,148.113.194.34_192.168.1.238_UDP,148.113.194.34,192.168.1.238,UDP,0,2,1,Anomaly
90,2025-03-19 10:57:57.018373,,192.168.1.238_148.113.194.34_UDP,192.168.1.238,148.113.194.34,UDP,4,0,1,Anomaly
90,2025-03-19 10:57:57.048303,,148.113.194.34_192.168.1.238_UDP,148.113.194.34,192.168.1.238,UDP,0,2,1,Anomaly
90,2025-03-19 10:57:57.548769,,192.168.1.238_148.113.194.34_UDP,192.168.1.238,148.113.194.34,UDP,4,0,1,Anomaly
90,2025-03-19 10:57:57.578904,,148.113.194.34_192.168.1.238_UDP,148.113.194.34,192.168.1.238,UDP,0,2,1,Anomaly
90,2025-03-19 10:58:01.548920,,192.168.1.238_173.255.230.96_UDP,192.168.1.238,173.255.230.96,UDP,4,1,1,Anomaly
90,2025-03-19 10:58:01.569149,,173.255.230.96_192.168.1.238_UDP,173.255.230.96,192.168.1.238,UDP,1,2,1,Anomaly
81,2025-03-19 10:58:12.336105,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:58:12.336264,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:58:12.336455,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:58:12.336477,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
